team_name,n_players,avg_o_rapm,avg_d_rapm,avg_total_rapm,top_player_rapm,sum_total_rapm
OKC,12,0.808868995379821,-0.6722028998132958,1.4810718951931168,5.16607592500685,17.7728627423174
NYK,18,0.4712167736739722,-0.7085169067226728,1.179733680396645,4.09088654819241,21.235206247139608
GSW,33,0.21940875853731304,-0.30239144031047605,0.521800198847789,4.9071904858583295,17.21940656197704
MIN,11,0.4303853319375246,-0.0675792757500436,0.4979646076875681,3.37594053193789,5.477610684563249
SAC,33,0.648730171267753,0.37628983972192365,0.2724403315458295,3.03560980693768,8.990530941012373
LAL,40,-0.07449762409772576,-0.27377002738920286,0.19927240329147708,4.56354171603561,7.970896131659083
DAL,33,0.047748172895134534,-0.11881849071474669,0.16656666360988126,5.84433198096193,5.496699899126082
CLE,22,0.20344994551706638,0.1712777447603459,0.03217220075672043,3.48164745430536,0.7077884166478494
HOU,12,-0.1565601456281642,-0.11754867506561417,-0.03901147056255009,3.29259810265835,-0.4681376467506011
ORL,14,-0.0988717530094864,-0.04350637593198646,-0.055365377077499986,4.00311940477783,-0.7751152790849998
LAC,26,0.5505032379069262,0.6187769910270385,-0.06827375312011232,5.23670795237027,-1.7751175811229203
MIL,26,0.23003187977251732,0.34581606103911156,-0.11578418126659429,5.93966412976761,-3.0103887129314515
BOS,17,0.45792061398143646,0.6102276708863529,-0.1523070569049164,5.239425091185,-2.5892199673835785
PHI,22,-0.2732121404049777,0.026885164424604566,-0.30009730482958225,6.57215150016157,-6.602140706250809
MEM,17,-0.1983424908233582,0.214245141455813,-0.41258763227917095,3.12935275142968,-7.013989748745906
IND,14,0.5083210589659471,0.9212552151977622,-0.41293415623181495,4.189570750081071,-5.781078187245409
ATL,28,0.33767300679304285,0.7748418173156982,-0.4371688105226554,3.69307588120783,-12.24072669463435
PHX,22,-0.03287119823686229,0.4213638682768218,-0.45423506651368406,4.8205655994911005,-9.99317146330105
DEN,12,-0.13968014954701893,0.342684710043635,-0.482364859590654,9.26535590666358,-5.788378315087848
SAS,24,0.015212691413020007,0.5783650722168575,-0.5631523808038374,2.4478668506429897,-13.515657139292099
MIA,31,-0.53817894576948,0.0326334191795342,-0.5708123649490142,3.42398026399886,-17.69518331341944
NOP,30,0.17714237865991464,0.8587419727886544,-0.6815995941287397,3.8169603035568302,-20.447987823862192
CHI,30,0.0982391594153983,0.9529861131014367,-0.8547469536860384,2.38714300353758,-25.64240861058115
BKN,36,-0.39923926437286333,0.4639276162196806,-0.8631668805925439,1.2462101016642302,-31.07400770133158
WAS,31,-0.2704370882197016,0.9063963277011606,-1.1768334159208622,1.3940188415063,-36.48183589354673
DET,24,-0.8088825821781825,0.4289410869901229,-1.2378236691683056,0.50438119577053,-29.70776806003933
CHA,27,-0.9284946287911966,0.7082604645767718,-1.6367550933679684,0.63284976327778,-44.19238752093515
TOR,26,-0.7201303023085904,0.9285713823265093,-1.6487016846350997,3.05366623300255,-42.86624380051259
POR,13,-1.1166016514595045,0.9384171233313077,-2.0550187747908124,0.6203068511568,-26.715244072280562
UTA,16,-0.7238425912583569,1.4872934774451143,-2.2111360687034716,2.48013593198159,-35.378177099255545
